,title,id,developer
46,3D Ultra™ Minigolf Adventures,10140.0,Wanako Games
47,Batman: Arkham Asylum Game of the Year Edition,35140.0,"Rocksteady Studios,Feral Interactive (Mac)"
48,Osmos,29180.0,Hemisphere Games
49,AaAaAA!!! - A Reckless Disregard for Gravity,15520.0,"Dejobaan Games, LLC"
50,STAR WARS™ - Knights of the Old Republic™,32370.0,"BioWare,Aspyr (Mac)"
51,Darkest of Days,37700.0,8monkey Labs
52,STAR WARS™ Jedi Knight - Jedi Academy™,6020.0,"Raven Software,Aspyr (Mac)"
53,Left 4 Dead 2,550.0,Valve
54,Borderlands,8980.0,Gearbox Software
55,Torchlight,41500.0,Runic Games
56,The Witcher: Enhanced Edition Director's Cut,20900.0,CD PROJEKT RED
57,Call of Duty®: Modern Warfare® 2,10180.0,"Infinity Ward,Aspyr (Mac)"
58,Dragon Age: Origins,17450.0,BioWare
59,King's Bounty: Armored Princess,3170.0,Katauri Interactive
60,King's Bounty: The Legend,25900.0,1C Company
61,Mass Effect 2,24980.0,BioWare
62,BioShock® 2,8850.0,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
63,BioShock™ 2 Remastered,409720.0,"2K Marin,2K China,Digital Extremes,2K Australia,Blind Squirrel"
64,Bob Came in Pieces,46000.0,Ludosity
65,Assassin's Creed 2 Deluxe Edition,33230.0,Ubisoft Montreal
66,Shatter,20820.0,Sidhe
67,Command &amp; Conquer 4: Tiberian Twilight,47700.0,EA Los Angeles
68,Battlefield: Bad Company™ 2,24960.0,DICE
69,Just Cause 2,8190.0,Avalanche Studios
70,Beat Hazard,49600.0,Cold Beam Games
71,F.E.A.R.,21090.0,"Monolith Productions, Inc.,Timegate"
72,Arma 2: Operation Arrowhead,33930.0,Bohemia Interactive
73,Mirror's Edge™,17410.0,DICE
74,Mafia II,50130.0,"2K Czech,Feral Interactive (Mac)"
75,Chime,62100.0,Zoë Mode
76,Amnesia: The Dark Descent,57300.0,Frictional Games
77,Sid Meier's Civilization® V,8930.0,"Firaxis Games,Aspyr (Mac, Linux)"
78,Serious Sam HD: The First Encounter,41000.0,Croteam
79,Serious Sam Classic: The First Encounter,41050.0,Croteam
80,Serious Sam Classic: The Second Encounter,41060.0,Croteam
81,Serious Sam Classics: Revolution,227780.0,"Croteam,Alligator Pit"
82,DeathSpank,18040.0,Hothead Games
83,Fallout: New Vegas,22380.0,Obsidian Entertainment
84,Call of Duty®: Black Ops,42700.0,Treyarch
85,Flight Control HD,62000.0,Firemint
86,Gish,9500.0,Cryptic Sea
87,And Yet It Moves,18700.0,Broken Rules
88,Jolly Rover,58200.0,Brawsome
89,Recettear: An Item Shop's Tale,70400.0,EasyGameStation
90,Altitude,41300.0,Nimbly Games
91,Gratuitous Space Battles,41800.0,Positech Games
92,DogFighter,42500.0,Dark Water Studios Ltd
93,Plain Sight,49900.0,Beatnik Games
94,Flotilla,55000.0,Blendo Games
95,Monday Night Combat,63200.0,Uber Entertainment
96,Portal 2,620.0,Valve
97,Magicka,42910.0,Arrowhead Game Studios
98,The Wonderful End of the World,15500.0,"Dejobaan Games, LLC"
99,Defense Grid: The Awakening,18500.0,Hidden Path Entertainment
100,The Ball,35460.0,Teotl Studios
101,Toki Tori,38700.0,Two Tribes
102,RUSH,38720.0,Two Tribes
103,BIT.TRIP BEAT,63700.0,Gaijin Games
104,Half-Life: Source,280.0,Valve
105,The Witcher 2: Assassins of Kings Enhanced Edition,20920.0,CD PROJEKT RED
106,Terraria,105600.0,Re-Logic
107,Frozen Synapse,98200.0,Mode 7
108,S.T.A.L.K.E.R.: Shadow of Chernobyl,4500.0,GSC Game World
109,Saints Row 2,9480.0,Volition
110,"Warhammer 40,000: Dawn of War II",15620.0,"Relic Entertainment,Feral Interactive (Mac/Linux)"
111,Red Faction Guerrilla Steam Edition,20500.0,"Volition,Reactor Zero,THQ Nordic"
112,"Warhammer® 40,000: Dawn of War® II Chaos Rising",20570.0,"Relic Entertainment,Feral Interactive (Mac/Linux)"
113,Darksiders™,50620.0,Vigil Games
114,Homefront,55100.0,"Kaos Studios,Digital Extremes"
115,MX vs. ATV Reflex,55140.0,"Double Helix Games,Rainbow Studios,THQ Nordic"
116,Defy Gravity Extended,96100.0,Paul Fisch
117,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450.0,Tripwire Interactive
118,Bastion,107100.0,Supergiant Games
119,Tropico 4,57690.0,Haemimont Games
120,The Binding of Isaac,113200.0,Edmund McMillen and Florian Himsl
121,Dungeon Defenders,65800.0,Trendy Entertainment
122,RAGE,9200.0,id Software
123,Greed Corp,48950.0,Vanguard Games
124,SpaceChem,92800.0,Zachtronics
125,Super MNC,104700.0,Uber Entertainment
126,Crusader Kings II,203770.0,Paradox Development Studio
127,L.A. Noire,110800.0,"Team Bondi,Rockstar Leeds"
128,The Walking Dead,207610.0,Telltale Games
129,Toy Soldiers,98300.0,Signal Studios
130,Spec Ops: The Line,50300.0,Yager Development
131,Awesomenauts - the 2D moba,204300.0,Ronimo Games
132,Arx Fatalis,1700.0,Arkane Studios
133,Dishonored,205100.0,Arkane Studios
134,Counter-Strike: Global Offensive,730.0,Valve
135,Borderlands 2,49520.0,"Gearbox Software,Aspyr (Mac &amp; Linux)"
136,Batman: Arkham City - Game of the Year Edition,200260.0,"Rocksteady Studios,Feral Interactive (Mac)"
137,FTL: Faster Than Light,212680.0,Subset Games
138,Torchlight II,200710.0,Runic Games
139,Hotline Miami,219150.0,Dennaton Games
140,Rocketbirds: Hardboiled Chicken,215510.0,Ratloop Asia
141,BioShock Infinite,8870.0,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
142,XCOM: Enemy Unknown,200510.0,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)"
143,Far Cry 3,220240.0,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
144,Scribblenauts Unlimited,218680.0,5th Cell Media
145,Baldur's Gate: Enhanced Edition,228280.0,Beamdog
146,Star Conflict,212070.0,Star Gem Inc.
147,PlanetSide 2,218230.0,Daybreak Game Company
148,Peggle Extreme,3483.0,"PopCap Games, Inc."
149,Tomb Raider,203160.0,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
150,Papo &amp; Yo,227080.0,Minority Media Inc.
151,Prison Architect,233450.0,Introversion Software
152,Don't Starve Together,322330.0,Klei Entertainment
153,Reus,222730.0,Abbey Games
154,Rogue Legacy,241600.0,Cellar Door Games
155,7 Grand Steps: What Ancients Begat,238930.0,Mousechief
156,Rise of the Triad,217140.0,Interceptor Entertainment
157,FINAL FANTASY VII,39140.0,Square Enix
158,Brothers - A Tale of Two Sons,225080.0,Starbreeze Studios AB
159,"Papers, Please",239030.0,3909
160,Risk of Rain,248820.0,"Hopoo Games, LLC"
161,Saints Row IV,206420.0,Deep Silver Volition
162,Europa Universalis IV,236850.0,Paradox Development Studio
163,Medal of Honor™,47790.0,Electronic Arts
164,The Wolf Among Us,250320.0,Telltale Games
165,The Binding of Isaac: Rebirth,250900.0,"Nicalis, Inc."
166,Call of Juarez® Gunslinger,204450.0,Techland
167,Far Cry 3 - Blood Dragon,233270.0,Ubisoft Montreal
168,Long Live The Queen,251990.0,Hanako Games
169,Enclave,253980.0,Starbreeze
170,PAC-MAN™ Championship Edition DX+,236450.0,"Mine Loader Software Co., Ltd."
171,Assassin’s Creed® IV Black Flag™,242050.0,Ubisoft Montreal
172,Baldur's Gate II: Enhanced Edition,257350.0,Beamdog
173,South Park™: The Stick of Truth™,213670.0,Obsidian Entertainment
174,Deus Ex: Human Revolution - Director's Cut,238010.0,"Eidos Montreal,Feral Interactive (Mac)"
175,Democracy 3,245470.0,Positech Games
176,The Stanley Parable,221910.0,Galactic Cafe
177,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,260230.0,Ubisoft Montpellier
178,Contagion,238430.0,"Monochrome, Inc"
179,The Walking Dead: Season 2,261030.0,Telltale Games
180,Out There Somewhere,263980.0,MiniBoss
181,FINAL FANTASY VIII,39150.0,Square Enix
182,Divinity: Original Sin (Classic),230230.0,Larian Studios
183,Divinity: Original Sin - Enhanced Edition,373420.0,Larian Studios
184,Broken Age,232790.0,Double Fine Productions
185,The Banner Saga,237990.0,Stoic
186,Freespace 2,273620.0,Volition Inc
187,Insurgency,222880.0,New World Interactive
188,Sven Co-op,225840.0,Sven Co-op Team
189,Creeper World 3: Arc Eternal,280220.0,Knuckle Cracker
190,DARK SOULS™ II,236430.0,"FromSoftware, Inc"
191,Wolfenstein: The New Order,201810.0,Machine Games
192,Valkyria Chronicles™,294860.0,SEGA
193,PARTICLE MACE,295690.0,Andy Wallace
194,BattleBlock Theater®,238460.0,The Behemoth
195,Transistor,237930.0,Supergiant Games
196,Dead Bits,303390.0,Microblast Games
197,Ultimate General: Gettysburg,306660.0,Game-Labs
198,Grim Fandango Remastered,316790.0,Double Fine Productions
199,Squishy the Suicidal Pig,318430.0,"Tomi Maarela,Elias Viglione"
200,Middle-earth™: Shadow of Mordor™,241930.0,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
201,Rise to Ruins,328080.0,Raymond Doerr
202,This War of Mine,282070.0,11 bit studios
203,Dirty Bomb®,333930.0,Splash Damage
204,Armikrog,334120.0,Pencil Test Studios
205,The Talos Principle,257510.0,Croteam
206,Life is Strange - Episode 1,319630.0,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
207,Besiege,346010.0,Spiderling Studios
208,Cities: Skylines,255710.0,Colossal Order Ltd.
209,Killing Floor 2,232090.0,Tripwire Interactive
210,Fallout 4,377160.0,Bethesda Game Studios
211,FINAL FANTASY TYPE-0™ HD,340170.0,Square Enix
212,Undertale,391540.0,tobyfox
213,Tahira: Echoes of the Astral Empire,396660.0,Whale Hammer Games
214,Deus Ex: Mankind Divided,337000.0,"Eidos Montreal,Feral Interactive (Linux),Feral Interactive (Mac)"
215,Kingdom: Classic,368230.0,"Noio,Licorice"
216,Kingdom: New Lands,496300.0,Noio
217,Company of Heroes 2,231430.0,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
218,Endless Legend™,289130.0,AMPLITUDE Studios
219,XCOM® 2,268500.0,"Firaxis,Feral Interactive (Mac),Feral Interactive (Linux)"
220,Sins Of The Demon RPG,461640.0,Chandler Rounsley
221,DOOM,379720.0,id Software
222,Evolve Stage 2,273350.0,Turtle Rock Studios
223,Counter-Strike: Condition Zero,80.0,Valve
224,Sid Meier's Civilization® III Complete,3910.0,Firaxis Games
225,Garry's Mod,4000.0,Facepunch Studios
226,Just Cause,6880.0,Avalanche Studios
227,Quake III Arena,2200.0,id Software
228,Wolfenstein 3D,2270.0,id Software
229,Ultimate Doom,2280.0,id Software
230,Final DOOM,2290.0,id Software
231,DOOM II,2300.0,id Software
232,QUAKE,2310.0,id Software
233,QUAKE II,2320.0,id Software
234,QUAKE II Mission Pack: The Reckoning,2330.0,Xatrix Entertainment
235,QUAKE II Mission Pack: Ground Zero,2340.0,Rogue Entertainment
236,QUAKE III: Team Arena,2350.0,id Software
237,HeXen: Beyond Heretic,2360.0,Raven Software
238,HeXen: Deathkings of the Dark Citadel,2370.0,Raven Software
239,Heretic: Shadow of the Serpent Riders,2390.0,Raven Software
240,Spear of Destiny,9000.0,id Software
241,Return to Castle Wolfenstein,9010.0,Gray Matter Studios
242,QUAKE Mission Pack 2: Dissolution of Eternity,9030.0,Rogue Entertainment
243,QUAKE Mission Pack 1: Scourge of Armagon,9040.0,Ritual Entertainment
244,DOOM 3,9050.0,id Software
245,HeXen II,9060.0,Raven Software
246,DOOM 3 Resurrection of Evil,9070.0,id Software
247,Master Levels for Doom II,9160.0,id Software
248,Commander Keen,9180.0,id Software
249,Rome: Total War™ - Collection,4760.0,The Creative Assembly
250,Alpha Prime,2590.0,Black Element
251,RACE - The WTCC Game,4230.0,SimBin
252,RACE: Caterham Expansion,4290.0,SimBin
253,RACE 07,8600.0,SimBin
254,GTR Evolution Expansion Pack for RACE 07,8660.0,SimBin
255,The Settlers®: Heritage of Kings,15310.0,Ubisoft Blue Byte Studio
256,Children of the Nile: Enhanced Edition,17100.0,"Tilted Mill Entertainment, Inc."
257,Children of the Nile: Alexandria,17120.0,"Tilted Mill Entertainment, Inc."
258,LEGO Batman,21000.0,Traveller's Tales
259,Dead Space,17470.0,EA Redwood Shores
260,The Path,27000.0,Tale of Tales
261,Puzzle Kingdoms,23700.0,Infinite Interactive
262,The Elder Scrolls IV: Oblivion® Game of the Year Edition,22330.0,Bethesda Game Studios
263,Operation Flashpoint: Dragon Rising,12830.0,Codemasters Studios
264,Command &amp; Conquer: Red Alert 3 - Uprising,24800.0,EA Los Angeles
265,ItzaBitza,40200.0,Sabi Games
266,ItzaZoo,40210.0,Sabi Games
267,Coniclysm,39900.0,ZoopTEK
268,Avencast: Rise of the Mage,46410.0,ClockStone Studios
269,Ship Simulator Extremes,48800.0,VStep
270,Hacker Evolution,70100.0,exosyphen studios
271,Hacker Evolution: Untold,70110.0,exosyphen studios
272,Hacker Evolution Duality,70120.0,exosyphen studios
273,Blade Kitten,9940.0,Krome Studios
274,Tropico 3,23490.0,Haemimont Games
275,Tropico 3: Absolute Power,57600.0,Haemimont Games
276,Fish Fillets 2,33950.0,Altar Games
277,Grand Theft Auto: Episodes from Liberty City,12220.0,Rockstar North / Toronto
278,Dragon Age: Origins - Ultimate Edition,47810.0,BioWare
279,Chaser,39670.0,Cauldron
280,Ride 'em Low,65070.0,"Red Dot Games,PLAY"
281,F.E.A.R. 3,21100.0,Day 1 Studios
282,Post Apocalyptic Mayhem,91900.0,Steel Monkeys
283,Dino D-Day,70000.0,800 North and Digital Ranch
284,Sanctum,91600.0,Coffee Stain Studios
285,Cargo! The Quest for Gravity,41740.0,Ice-Pick Lodge
286,BEEP,104200.0,Big Fat Alien
287,Worms Reloaded,22600.0,Team17 Digital Ltd
288,Alien Breed: Impact,22610.0,Team17 Software Ltd.
289,DETOUR,92100.0,Sandswept Studios
290,Naval Warfare,98500.0,Game Distillery s.r.o.
291,Jamestown,94200.0,Final Form Games
292,Sid Meier's Railroads!,7600.0,"Firaxis Games,Feral Interactive (Mac)"
293,Aztaka,37100.0,Citeremis Inc.
294,F.E.A.R. 2: Project Origin,16450.0,Monolith
295,Solar 2,97000.0,Murudai
296,Painkiller Overdose,3270.0,Mindware Studios
297,7 Wonders II,15900.0,MumboJumbo
298,Luxor Amun Rising,15910.0,MumboJumbo
299,Luxor 2,15920.0,MumboJumbo
300,Luxor 3,15930.0,MumboJumbo
301,Reaxxion,15950.0,MumboJumbo
302,Little Farm,15960.0,MumboJumbo
303,Luxor,15970.0,MumboJumbo
304,Discovery! A Seek and Find Adventure,16000.0,MumboJumbo
305,Samantha Swift and the Hidden Roses of Athena,16020.0,MumboJumbo
306,7 Wonders: Treasures of Seven,16030.0,MumboJumbo
307,Luxor: Quest for the Afterlife,16040.0,MumboJumbo
308,Samantha Swift and the Golden Touch,16060.0,MumboJumbo
309,LUXOR: Mah Jong,32110.0,MumboJumbo
310,Chainz 2: Relinked,32120.0,MumboJumbo
311,Midnight Mysteries,32140.0,MumboJumbo
312,Zombie Bowl-o-Rama,32160.0,MumboJumbo
313,Luxor: 5th Passage,60340.0,MumboJumbo
314,Alien Breed 2: Assault,22650.0,Team17 Digital Ltd
315,Dungeons of Dredmor,98800.0,"Gaslamp Games, Inc."
316,Rock of Ages,22230.0,ACE Team
317,Sniper: Ghost Warrior,34830.0,City Interactive
318,Lucid,61100.0,YeaBoing
319,Lord of the Rings: War in the North,32800.0,Snowblind Studios
320,ARMA: Cold War Assault,65790.0,Bohemia Interactive
321,Space Pirates and Zombies,107200.0,MinMax Games Ltd.
322,Nuclear Dawn,17710.0,"GameConnect,InterWave Studios"
323,HOARD,63000.0,Big Sandwich Games
324,Shank 2,102840.0,Klei Entertainment
325,Saints Row: The Third,55230.0,Volition
326,Costume Quest,115100.0,Double Fine Productions
327,Gemini Rue,80310.0,Joshua Neurnberger
328,Take On Helicopters,65730.0,Bohemia Interactive
329,Sonic Generations Collection,71340.0,Devil's Details
330,Fractal: Make Blooms Not War,61310.0,Cipher Prime Studios
331,King Arthur II: The Role-Playing Wargame,24480.0,NeocoreGames
332,Dangerous Waters,1600.0,Sonalysts
333,The Bard's Tale,41900.0,inXile Entertainment
334,Age of Empires® III: Complete Collection,105450.0,Ensemble Studios
335,RACE 07: Andy Priaulx Crowne Plaza Raceway (Free DLC),8650.0,SimBin
336,LIMBO,48000.0,Playdead
337,Stacking,115110.0,Double Fine Productions
338,Legend of Grimrock,207170.0,Almost Human Games
339,A Virus Named TOM,207650.0,Misfits Attic
340,Ticket to Ride,108200.0,Days of Wonder
341,Orcs Must Die!,102600.0,Robot Entertainment
342,Roller Coaster Rampage,209610.0,Pantera Entertainment
343,All Zombies Must Die!: Scorepocalypse,209360.0,Doublesix Games
344,Burn Zombie Burn!,50510.0,doublesix
345,Botanicula,207690.0,Amanita Design
346,Port Royale 3,205610.0,Gaming Minds
347,ORION: Prelude,104900.0,"Trek Industries, Inc"
348,Gratuitous Tank Battles,205530.0,Positech Games
349,Civilization IV®: Warlords,3990.0,Firaxis Games
350,Civilization IV: Beyond the Sword,8800.0,Firaxis Games
351,Sid Meier's Civilization IV: Colonization,16810.0,Firaxis Games
352,Offspring Fling!,211360.0,Kyle Pulver
353,Hard Reset Extended Edition,98400.0,Flying Wild Hog
354,Waveform,204180.0,Eden Industries
355,Crysis 2 - Maximum Edition,108800.0,Crytek Studios
356,Arena Wars 2,207730.0,ExDream GmbH
357,Max Payne 3,204100.0,Rockstar Studios
358,Indie Game: The Movie,207080.0,BlinkWorks Media
359,Splice,209790.0,Cipher Prime Studios
360,LEGO® Batman 2 DC Super Heroes™,213330.0,TT Games
361,Galaxy on Fire 2™ Full HD,212010.0,Fishlabs Entertainment GmbH
362,Tower Wars,214360.0,SuperVillain Studios
363,Orcs Must Die! 2,201790.0,Robot Entertainment
364,Death Rally,108700.0,"Remedy Entertainment Ltd.,Mountain Sheep Inc.,Cornfox &amp; Brothers Ltd."
365,Snapshot,204220.0,Retro Affect
366,Broken Sword 2 - the Smoking Mirror: Remastered,33600.0,Revolution Software Ltd
367,The Basement Collection,214790.0,"Edmund McMillen,Tyler Glaiel"
368,Closure,72000.0,Eyebrow Interactive
369,Lucius,218640.0,Shiver Games
370,Strike Suit Zero,209540.0,Born Ready Games Ltd.
371,Mark of the Ninja,214560.0,Klei Entertainment
372,To the Moon,206440.0,Freebird Games
373,Thomas Was Alone,220780.0,Bithell Games
374,Castle Crashers®,204360.0,The Behemoth
375,Little Inferno,221260.0,Tomorrow Corporation
376,Dream Pinball 3D,215790.0,ASK Homework
377,Edna &amp; Harvey: Harvey's New Eyes,219910.0,Daedalic Entertainment
378,McPixel,220860.0,Sos
379,Carrier Command: Gaea Mission,65740.0,Bohemia Interactive
380,Napoleon: Total War™,34030.0,"The Creative Assembly,Feral Interactive (Mac)"
381,Viking: Battle for Asgard,211160.0,"Creative Assembly, PC Port - Hardlight"
382,World of Zoo,43100.0,Blue Fang
383,Dogfight 1942,217790.0,City Interactive
384,Giana Sisters: Twisted Dreams,223220.0,Black Forest Games
385,Natural Selection 2,4920.0,Unknown Worlds Entertainment
386,Disciples III - Renaissance Steam Special Edition,33670.0,"Akella,.dat"
387,Pid,218740.0,Might and Delight
388,NiGHTS Into Dreams,219950.0,SEGA
389,Faerie Solitaire,38600.0,Subsoap
390,Iron Sky: Invasion,224900.0,Reality Pump
391,POSTAL 2,223470.0,Running With Scissors
392,Hitman: Absolution™,203140.0,"Io-Interactive A/S,Feral Interactive (Mac)"
393,Company of Heroes: Tales of Valor,20540.0,Relic Entertainment
394,Red Faction®: Armageddon™,55110.0,Volition
395,Stealth Bastard Deluxe,209190.0,Curve Studios
396,Weird Worlds: Return to Infinite Space,226120.0,Digital Eel
397,Super Hexagon,221640.0,Terry Cavanagh
398,Sniper: Ghost Warrior 2,34870.0,City Interactive
399,A New Beginning - Final Cut,105000.0,Daedalic Entertainment
400,Triple Town,209950.0,Spry Fox LLC
401,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570.0,Relic Entertainment
402,Crazy Taxi,71230.0,SEGA
403,SEGA Bass Fishing,71240.0,SEGA
404,Space Channel 5: Part 2,71260.0,SEGA
405,Dead Pixels,222980.0,CSR-Studios
406,Trine 2: Complete Story,35720.0,Frozenbyte
407,Hero Academy,209270.0,Robot Entertainment
408,The Game of Life,224700.0,Virtuos
409,Euro Truck Simulator 2,227300.0,SCS Software
410,The Showdown Effect,204080.0,Arrowhead Game Studios
411,Antichamber,219890.0,Alexander Bruce
412,Thinking with Time Machine,286080.0,Stridemann
413,Arma II: DayZ Mod,224580.0,Bohemia Interactive
414,Brutal Legend,225260.0,Double Fine Productions
415,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,218060.0,Gaijin Games
416,Alien Rage - Unlimited,217920.0,CI Games
417,Bridge Project,232950.0,Halycon Media GmbH &amp; Co. KG
418,Incredipede,230150.0,Colin Northway with art by Thomas Shahan
419,Cities in Motion 2,225420.0,Colossal Order Ltd.
420,Rush Bros.,234490.0,XYLA Entertainment
421,Organ Trail: Director's Cut,233740.0,The Men Who Wear Many Hats
422,Prime World: Defenders,235360.0,Nival
423,Anodyne,234900.0,"Sean Han Tani,Joni Kittaka"
424,Surgeon Simulator,233720.0,Bossa Studios
425,Poker Night 2,234710.0,Telltale Games
426,Jack Lumber,220900.0,Owlchemy Labs
427,Sanctum 2,210770.0,Coffee Stain Studios
428,Monaco: What's Yours Is Mine,113020.0,Pocketwatch Games
429,Fallout 3,22300.0,Bethesda Game Studios
430,Super Sanctum TD,235250.0,Coffee Stain Studios
431,FEZ,224760.0,Polytron Corporation
432,Shadowrun Returns,234650.0,Harebrained Schemes
433,Anomaly 2,236730.0,11 bit studios
434,Zeno Clash 2,215690.0,ACE Team
435,Broken Sword: Director's Cut,57640.0,Revolution Software Ltd
436,Dust: An Elysian Tail,236090.0,Humble Hearts LLC
437,The Whispered World Special Edition,268540.0,Daedalic Entertainment
438,The Swapper,231160.0,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano"
439,Knights of Pen and Paper +1 Edition,231740.0,Behold Studios
440,The Forest,242760.0,Endnight Games Ltd
441,Day One : Garry's Incident,242800.0,Wild Games Studio
442,Banished,242920.0,Shining Rock Software LLC
443,Betrayer,243120.0,Blackpowder Games
444,Skulls of the Shogun,228960.0,17-BIT
445,Joe Danger 2: The Movie,242110.0,Hello Games
446,The Apogee Throwback Pack,238050.0,Interceptor Entertainment
447,Super Splatters,95000.0,SpikySnail
448,Toki Tori 2+,201420.0,Two Tribes
449,StarMade,244770.0,"Schine, GmbH"
450,Velocity®Ultra,244890.0,"Curve Digital,FuturLab"
451,Risen 2: Dark Waters,40390.0,Piranha Bytes
452,Sacred 2 Gold,225640.0,Ascaron
453,Kingdom Rush,246420.0,Ironhide Game Studio
454,Risen,40300.0,Piranha Bytes
455,Sacred Citadel,207930.0,Southend
456,Teleglitch: Die More Edition,234390.0,Test3 Projects
457,Secrets of Rætikon,246680.0,Broken Rules
458,"Cook, Serve, Delicious!",247020.0,Vertigo Gaming Inc.
459,Guacamelee! Gold Edition,214770.0,DrinkBox Studios
460,Inquisitor,241620.0,"CINEMAX, s.r.o."
461,Sid Meier’s Ace Patrol,244070.0,Firaxis Games
462,PixelJunk™ Monsters Ultimate,243780.0,"Double Eleven,Q-Games Ltd."
463,Epigenesis,244590.0,Dead Shark Triplepunch
464,Bridge It +,248370.0,Chronic Logic
465,Doorways: Prelude,248470.0,Saibot Studios
466,Batman™: Arkham Origins,209000.0,"WB Games Montreal,Splash Damage"
467,Game Dev Tycoon,239820.0,Greenheart Games
468,Jazzpunk: Director's Cut,250260.0,Necrophone Games
469,Bridge Constructor,250460.0,ClockStone
470,Paranautical Activity: Deluxe Atonement Edition,250580.0,Digerati Distribution
471,Eets Munchies,214550.0,Klei Entertainment
472,Guardians of Middle-earth,111900.0,Zombie Studios
473,Anomaly Korea,251530.0,11 bit studios
474,Oniken: Unstoppable Edition,252010.0,JoyMasher
475,Anomaly Warzone Earth Mobile Campaign,252170.0,11 bit studios
476,Syder Arcade,252310.0,Studio Evil
477,Rust,252490.0,Facepunch Studios
478,Depths of Fear :: Knossos,252570.0,Dirigo Games
479,Claire,252830.0,Hailstorm Games
480,Skyscraper Simulator,252910.0,"United Independent Entertainment GmbH,Actalogic"
481,Ravensword: Shadowlands,253410.0,Crescent Moon Games
482,Earth 2150 Trilogy,253880.0,Reality Pump Studios
483,Feeding Frenzy 2 Deluxe,3390.0,"PopCap Games, Inc."
484,Peggle Deluxe,3480.0,"PopCap Games, Inc."
485,Escape Rosecliff Island,3600.0,SpinTop Games
486,Bejeweled® 3,78000.0,"PopCap Games, Inc."
487,Peggle™ Nights,3540.0,"PopCap Games, Inc."
488,Zuma's Revenge!,3620.0,"PopCap Games, Inc."
489,Edna &amp; Harvey: The Breakout,255320.0,Daedalic Entertainment
490,State of Decay,241540.0,Undead Labs
491,Arma Tactics,224860.0,Bohemia Interactive
492,Blood Bowl® Legendary Edition,58520.0,Cyanide Studios
